season,week,patch,team_1_blue_side,team_2_red_side,score
LEC 2020 Spring Season,Week 1,10.1,G2,MAD,1 - 0
LEC 2020 Spring Season,Week 1,10.1,VIT,SK,0 - 1
LEC 2020 Spring Season,Week 1,10.1,MSF,RGE,0 - 1
LEC 2020 Spring Season,Week 1,10.1,S04,XL,0 - 1
LEC 2020 Spring Season,Week 1,10.1,FNC,OG,0 - 1
LEC 2020 Spring Season,Week 1,10.1,VIT,MAD,0 - 1
LEC 2020 Spring Season,Week 1,10.1,RGE,XL,1 - 0
LEC 2020 Spring Season,Week 1,10.1,S04,OG,0 - 1
LEC 2020 Spring Season,Week 1,10.1,MSF,FNC,0 - 1
LEC 2020 Spring Season,Week 1,10.1,G2,SK,1 - 0
LEC 2020 Spring Season,Week 2,10.2,RGE,OG,0 - 1
LEC 2020 Spring Season,Week 2,10.2,MSF,SK,1 - 0
LEC 2020 Spring Season,Week 2,10.2,VIT,G2,0 - 1
LEC 2020 Spring Season,Week 2,10.2,MAD,XL,0 - 1
LEC 2020 Spring Season,Week 2,10.2,S04,FNC,0 - 1
LEC 2020 Spring Season,Week 2,10.2,MSF,XL,1 - 0
LEC 2020 Spring Season,Week 2,10.2,S04,MAD,0 - 1
LEC 2020 Spring Season,Week 2,10.2,VIT,RGE,0 - 1
LEC 2020 Spring Season,Week 2,10.2,FNC,SK,1 - 0
LEC 2020 Spring Season,Week 2,10.2,G2,OG,1 - 0
LEC 2020 Spring Season,Week 3,10.2,MAD,SK,1 - 0
LEC 2020 Spring Season,Week 3,10.2,S04,MSF,0 - 1
LEC 2020 Spring Season,Week 3,10.2,FNC,XL,1 - 0
LEC 2020 Spring Season,Week 3,10.2,VIT,OG,0 - 1
LEC 2020 Spring Season,Week 3,10.2,G2,RGE,1 - 0
LEC 2020 Spring Season,Week 3,10.2,S04,SK,0 - 1
LEC 2020 Spring Season,Week 3,10.2,VIT,XL,0 - 1
LEC 2020 Spring Season,Week 3,10.2,MAD,RGE,1 - 0
LEC 2020 Spring Season,Week 3,10.2,MSF,OG,1 - 0
LEC 2020 Spring Season,Week 3,10.2,G2,FNC,1 - 0
LEC 2020 Spring Season,Week 4,10.3,MAD,OG,0 - 1
LEC 2020 Spring Season,Week 4,10.3,XL,SK,1 - 0
LEC 2020 Spring Season,Week 4,10.3,VIT,FNC,0 - 1
LEC 2020 Spring Season,Week 4,10.3,S04,RGE,0 - 1
LEC 2020 Spring Season,Week 4,10.3,MSF,G2,1 - 0
LEC 2020 Spring Season,Week 4,10.3,VIT,MSF,0 - 1
LEC 2020 Spring Season,Week 4,10.3,RGE,SK,1 - 0
LEC 2020 Spring Season,Week 4,10.3,S04,G2,1 - 0
LEC 2020 Spring Season,Week 4,10.3,XL,OG,0 - 1
LEC 2020 Spring Season,Week 4,10.3,FNC,MAD,0 - 1
LEC 2020 Spring Season,Week 5,10.3,MSF,MAD,1 - 0
LEC 2020 Spring Season,Week 5,10.3,VIT,S04,0 - 1
LEC 2020 Spring Season,Week 5,10.3,XL,G2,0 - 1
LEC 2020 Spring Season,Week 5,10.3,OG,SK,1 - 0
LEC 2020 Spring Season,Week 5,10.3,RGE,FNC,0 - 1
LEC 2020 Spring Season,Week 5,10.3,SK,VIT,0 - 1
LEC 2020 Spring Season,Week 5,10.3,XL,S04,1 - 0
LEC 2020 Spring Season,Week 5,10.3,MSF,RGE,0 - 1
LEC 2020 Spring Season,Week 5,10.3,MAD,G2,1 - 0
LEC 2020 Spring Season,Week 5,10.3,OG,FNC,0 - 1
LEC 2020 Spring Season,Week 6,10.4,RGE,XL,1 - 0
LEC 2020 Spring Season,Week 6,10.4,VIT,MAD,0 - 1
LEC 2020 Spring Season,Week 6,10.4,FNC,MSF,1 - 0
LEC 2020 Spring Season,Week 6,10.4,S04,OG,0 - 1
LEC 2020 Spring Season,Week 6,10.4,G2,SK,1 - 0
LEC 2020 Spring Season,Week 6,10.4,MSF,SK,1 - 0
LEC 2020 Spring Season,Week 6,10.4,MAD,XL,0 - 1
LEC 2020 Spring Season,Week 6,10.4,FNC,S04,1 - 0
LEC 2020 Spring Season,Week 6,10.4,RGE,OG,0 - 1
LEC 2020 Spring Season,Week 6,10.4,G2,VIT,1 - 0
LEC 2020 Spring Season,Week 7,10.4,VIT,RGE,0 - 1
LEC 2020 Spring Season,Week 7,10.4,S04,MAD,0 - 1
LEC 2020 Spring Season,Week 7,10.4,SK,FNC,0 - 1
LEC 2020 Spring Season,Week 7,10.4,XL,MSF,0 - 1
LEC 2020 Spring Season,Week 7,10.4,OG,G2,0 - 1
LEC 2020 Spring Season,Week 7,10.4,SK,S04,0 - 1
LEC 2020 Spring Season,Week 7,10.4,VIT,XL,0 - 1
LEC 2020 Spring Season,Week 7,10.4,RGE,MAD,1 - 0
LEC 2020 Spring Season,Week 7,10.4,MSF,OG,0 - 1
LEC 2020 Spring Season,Week 7,10.4,FNC,G2,0 - 1
LEC 2020 Spring Season,Week 8,10.5,MAD,SK,1 - 0
LEC 2020 Spring Season,Week 8,10.5,S04,MSF,1 - 0
LEC 2020 Spring Season,Week 8,10.5,XL,FNC,0 - 1
LEC 2020 Spring Season,Week 8,10.5,G2,RGE,1 - 0
LEC 2020 Spring Season,Week 8,10.5,OG,VIT,1 - 0
LEC 2020 Spring Season,Week 8,10.5,S04,VIT,1 - 0
LEC 2020 Spring Season,Week 8,10.5,SK,OG,0 - 1
LEC 2020 Spring Season,Week 8,10.5,MAD,MSF,1 - 0
LEC 2020 Spring Season,Week 8,10.5,G2,XL,1 - 0
LEC 2020 Spring Season,Week 8,10.5,FNC,RGE,1 - 0
LEC 2020 Spring Season,Week 9,10.6,RGE,SK,0 - 1
LEC 2020 Spring Season,Week 9,10.6,VIT,MSF,0 - 1
LEC 2020 Spring Season,Week 9,10.6,G2,S04,1 - 0
LEC 2020 Spring Season,Week 9,10.6,XL,OG,0 - 1
LEC 2020 Spring Season,Week 9,10.6,MAD,FNC,0 - 1
LEC 2020 Spring Season,Week 9,10.6,SK,XL,1 - 0
LEC 2020 Spring Season,Week 9,10.6,S04,RGE,1 - 0
LEC 2020 Spring Season,Week 9,10.6,OG,MAD,0 - 1
LEC 2020 Spring Season,Week 9,10.6,FNC,VIT,0 - 1
LEC 2020 Spring Season,Week 9,10.6,MSF,G2,0 - 1
